日期,指数点位,成交额(万亿元)
2024-01-11,3295.6717,0.1809785336
2024-01-12,3284.1667,0.15653602230000002
2024-01-15,3280.9195,0.1443317224
2024-01-16,3300.8762,0.1756505875
2024-01-17,3229.082,0.17351638519999998
2024-01-18,3274.7286,0.2567845368
2024-01-19,3269.7763,0.1912618071
2024-01-22,3218.9016,0.2255100318
2024-01-23,3231.9329,0.1937911686
2024-01-24,3277.1089,0.2190363416
2024-01-25,3342.9189,0.265521115
2024-01-26,3333.8213,0.2381448995
2024-01-29,3303.9604,0.2446980136
2024-01-30,3245.0387,0.199592929912
2024-01-31,3215.3518,0.215333349921
2024-02-01,3217.7109,0.203815063233
2024-02-02,3179.6276,0.23449515155700001
2024-02-05,3200.4218,0.27971314150700005
2024-02-06,3311.6922,0.285042020946
2024-02-07,3343.6303,0.297997664575
2024-02-08,3364.9297,0.270239765211
2024-02-19,3403.8078,0.267674145147
2024-02-20,3410.8542,0.218459281946
2024-02-21,3456.8713,0.291823544608
2024-02-22,3486.6747,0.225098128873
2024-02-23,3489.7416,0.232926057114
2024-02-26,3453.3585,0.238951637715
2024-02-27,3494.7874,0.244488721251
2024-02-28,3450.2598,0.328300591256
2024-02-29,3516.0826,0.281971899288
2024-03-01,3537.8038,0.288575619225
2024-03-04,3540.8686,0.297719931809
2024-03-05,3565.5143,0.299895929709
2024-03-06,3551.0481,0.248294165707
2024-03-07,3529.7195,0.25183953303600004
2024-03-08,3544.9099,0.225379101014
2024-03-11,3589.2635,0.286418582155
2024-03-12,3597.4939,0.339997042337
2024-03-13,3572.361,0.26689875638
2024-03-14,3562.2229,0.263803609335
2024-03-15,3569.993,0.243991558366
2024-03-18,3603.528,0.295314840611
2024-03-19,3577.6303,0.259553448413
2024-03-20,3585.3838,0.223752103886
2024-03-21,3581.0902,0.23316249263
2024-03-22,3545.0023,0.248850931022
2024-03-25,3525.7634,0.233747256235
2024-03-26,3543.7467,0.226730734844
2024-03-27,3502.7866,0.21640472656600002
2024-03-28,3520.9648,0.232530806335
2024-03-29,3537.4843,0.201749384357
2024-04-01,3595.6466,0.251637272845
2024-04-02,3580.6759,0.22020751554300003
2024-04-03,3567.8031,0.21422289758000002
2024-04-08,3536.4077,0.243249251687
2024-04-09,3533.4871,0.19589352557499998
2024-04-10,3504.7086,0.19975476862599997
