日期,指数点位,累计收益率
2023-08-15,3846.5357,-0.010639036114928113
2023-08-16,3818.3338,-0.017892799278335203
2023-08-17,3831.1008,-0.014609020727697763
2023-08-18,3784.0038,-0.026722760713549287
2023-08-21,3729.555,-0.04072744478560553
2023-08-22,3758.2271,-0.033352742272741986
2023-08-23,3696.6339,-0.04919502542658516
2023-08-24,3723.4293,-0.042303025757457924
2023-08-25,3709.1517,-0.045975343187909745
2023-08-28,3752.6194,-0.03479508933770703
2023-08-29,3790.1067,-0.02515304409126662
2023-08-30,3788.5097,-0.025563805769449943
2023-08-31,3765.2678,-0.031541815693164055
2023-09-01,3791.4912,-0.024796939179904665
2023-09-04,3848.9517,-0.010017620827206586
2023-09-05,3820.3174,-0.017382600865783693
2023-09-06,3812.0283,-0.019514626305126348
2023-09-07,3758.4748,-0.03328903177325171
2023-09-08,3739.9927,-0.0380427815618265
2023-09-11,3767.537,-0.03095815858600448
2023-09-12,3760.6048,-0.032741178063464105
2023-09-13,3736.6513,-0.03890221742374389
2023-09-14,3733.5077,-0.03971077748106222
2023-09-15,3708.7766,-0.04607182202666149
2023-09-18,3727.711,-0.04120173691745921
2023-09-19,3720.5021,-0.043055925935528316
2023-09-20,3705.6898,-0.04686577265171887
2023-09-21,3672.4448,-0.055416663065750216
2023-09-22,3738.9327,-0.038315422375147956
2023-09-25,3714.6037,-0.044573043457505235
2023-09-26,3692.8928,-0.05015726745178983
2023-09-27,3700.495,-0.04820191840364585
2023-09-28,3689.5172,-0.051025499838061705
2023-10-09,3684.7272,-0.052257527664297476
2023-10-10,3657.1259,-0.05935681151404337
2023-10-11,3667.5483,-0.056676083577475445
2023-10-12,3702.3824,-0.04771646343094493
2023-10-13,3663.4104,-0.05774038586185559
2023-10-16,3626.5972,-0.06720904698352259
2023-10-17,3639.4018,-0.06391559740026176
2023-10-18,3610.5767,-0.07132965278523673
2023-10-19,3533.5445,-0.09114297510593894
2023-10-20,3510.5889,-0.09704734628922473
2023-10-23,3474.2438,-0.1063956081988956
2023-10-24,3487.1302,-0.10308111897551253
2023-10-25,3504.4576,-0.09862436762763804
2023-10-26,3514.1448,-0.0961327392438569
2023-10-27,3562.3851,-0.08372493299208994
2023-10-30,3583.7718,-0.07822409593335133
2023-10-31,3572.5056,-0.08112185624565571
2023-11-01,3571.0268,-0.08150221590107065
2023-11-02,3554.1889,-0.08583306377901967
2023-11-03,3584.1364,-0.07813031778190138
2023-11-06,3632.6084,-0.06566291636367516
2023-11-07,3619.7593,-0.06896781171692923
2023-11-08,3611.0723,-0.07120218034459336
2023-11-09,3612.8263,-0.07075103696104046
2023-11-10,3586.4893,-0.07752513233882186
2023-11-13,3579.4141,-0.07934493260524855
2023-11-14,3582.0584,-0.07866479665933723
2023-11-15,3607.2454,-0.0721864908431783
2023-11-16,3572.3641,-0.08115825122215103
2023-11-17,3568.0685,-0.08226311525772068
2023-11-20,3576.3233,-0.08013991206356375
2023-11-21,3581.0674,-0.07891969009896138
2023-11-22,3544.4162,-0.08834668347368668
2023-11-23,3561.5204,-0.08394734102159851
2023-11-24,3538.0087,-0.08999474574855237
2023-11-27,3511.9424,-0.09669921483561095
2023-11-28,3518.5232,-0.09500657835985038
2023-11-29,3488.3073,-0.10277835906856847
2023-11-30,3496.2028,-0.10074757082179497
2023-12-01,3482.8813,-0.10417397138279716
2023-12-04,3460.138,-0.11002373724092429
2023-12-05,3394.2571,-0.12696885248465295
2023-12-06,3399.598,-0.12559512859798416
2023-12-07,3391.2823,-0.12773399577849143
2023-12-08,3399.4618,-0.12563016037041286
2023-12-11,3419.4548,-0.12048779453952918
2023-12-12,3426.803,-0.11859777640325653
2023-12-13,3369.605,-0.13330957757341033
2023-12-14,3351.9639,-0.13784701516952902
2023-12-15,3341.5517,-0.14052511958128955
2023-12-18,3329.3657,-0.143659460101229
2023-12-19,3334.0412,-0.14245688262699807
2023-12-20,3297.5022,-0.15185501722884176
2023-12-21,3330.8698,-0.14327259307545837
2023-12-22,3337.2281,-0.14163718544966397
2023-12-25,3347.4508,-0.1390078220134925
2023-12-26,3324.7902,-0.14483631674401432
2023-12-27,3336.3572,-0.14186118817072213
2023-12-28,3414.5403,-0.1217518448009145
2023-12-29,3431.1099,-0.1174900059137336
2024-01-02,3386.3522,-0.12900205848958224
2024-01-03,3378.2971,-0.1310738971833426
2024-01-04,3347.0519,-0.13911042241012828
2024-01-05,3329.1114,-0.1437248681755947
2024-01-08,3286.0564,-0.15479897215442207
2024-01-09,3292.4994,-0.1531417789843933
2024-01-10,3277.129,-0.15709517366088088
2024-01-11,3295.6717,-0.15232583704845026
2024-01-12,3284.1667,-0.15528501870624623
2024-01-15,3280.9195,-0.1561202255449421
2024-01-16,3300.8762,-0.150987196375873
2024-01-17,3229.082,-0.16945326154546392
2024-01-18,3274.7286,-0.15771257649889692
2024-01-19,3269.7763,-0.15898634923456856
2024-01-22,3218.9016,-0.17207174506993383
2024-01-23,3231.9329,-0.1687199863617863
2024-01-24,3277.1089,-0.1571003435480014
2024-01-25,3342.9189,-0.14017346437376765
2024-01-26,3333.8213,-0.1425134427353466
2024-01-29,3303.9604,-0.15019391449243336
2024-01-30,3245.0387,-0.1653490656342118
2024-01-31,3215.3518,-0.17298478314458354
2024-02-01,3217.7109,-0.17237800300995454
2024-02-02,3179.6276,-0.18217334441180988
2024-02-05,3200.4218,-0.17682490327938538
2024-02-06,3311.6922,-0.148205231246736
2024-02-07,3343.6303,-0.13999048637886502
2024-02-08,3364.9297,-0.1345121036059782
2024-02-19,3403.8078,-0.12451233303579468
2024-02-20,3410.8542,-0.12269994036882426
2024-02-21,3456.8713,-0.110863959641752
2024-02-22,3486.6747,-0.10319827736274645
2024-02-23,3489.7416,-0.10240944518314676
2024-02-26,3453.3585,-0.11176748100876688
2024-02-27,3494.7874,-0.10111162347007341
2024-02-28,3450.2598,-0.11256449241276623
2024-02-29,3516.0826,-0.09563432097210744
2024-03-01,3537.8038,-0.09004744773218398
2024-03-04,3540.8686,-0.08925915569004461
2024-03-05,3565.5143,-0.08292007673449975
2024-03-06,3551.0481,-0.08664090365305765
2024-03-07,3529.7195,-0.09212679690872638
2024-03-08,3544.9099,-0.0882196997288407
2024-03-11,3589.2635,-0.0768115850328629
2024-03-12,3597.4939,-0.0746946577215788
2024-03-13,3572.361,-0.08115904856792577
2024-03-14,3562.2229,-0.08376665218069435
2024-03-15,3569.993,-0.08176811785655347
2024-03-18,3603.528,-0.0731426370313305
2024-03-19,3577.6303,-0.07980374079657215
2024-03-20,3585.3838,-0.07780947613045108
2024-03-21,3581.0902,-0.07891382574939176
2024-03-22,3545.0023,-0.08819593368058509
2024-03-25,3525.7634,-0.09314433872153893
2024-03-26,3543.7467,-0.08851888444021383
2024-03-27,3502.7866,-0.09905416272109113
2024-03-28,3520.9648,-0.09437857853927889
2024-03-29,3537.4843,-0.09012962578865202
2024-04-01,3595.6466,-0.07516979864087003
2024-04-02,3580.6759,-0.07902038715407012
2024-04-03,3567.8031,-0.08233137834437676
2024-04-08,3536.4077,-0.09040653625999351
2024-04-09,3533.4871,-0.09115773886318868
2024-04-10,3504.7086,-0.0985598083407101
2024-04-11,3504.2447,-0.09867912727778527
2024-04-12,3475.8389,-0.10598533521650966
2024-04-15,3549.0759,-0.0871481698908243
2024-04-16,3511.1146,-0.09691213187831615
2024-04-17,3565.403,-0.08294870401989851
2024-04-18,3569.8018,-0.08181729608627708
2024-04-19,3541.6619,-0.08905511233418806
2024-04-22,3530.9045,-0.09182200505609805
2024-04-23,3506.2249,-0.098169803373503
2024-04-24,3521.6219,-0.09420956695585103
2024-04-25,3530.2813,-0.09198229727766594
2024-04-26,3584.2686,-0.0780963148427305
2024-04-29,3623.9124,-0.06789959986616934
2024-04-30,3604.3943,-0.07291981746851872
2024-05-06,3657.8767,-0.05916369951155109
2024-05-07,3659.0076,-0.05887282262873483
2024-05-08,3630.2233,-0.06627638391447999
2024-05-09,3664.561,-0.057444441975244565
2024-05-10,3666.2771,-0.057003046786809675
2024-05-13,3664.6907,-0.05741108205685985
2024-05-14,3657.0454,-0.0593775167833569
2024-05-15,3626.0559,-0.06734827384413666
2024-05-16,3640.3592,-0.0636693461600033
2024-05-17,3677.9696,-0.053995638570053406
2024-05-20,3690.9623,-0.0506538081028437
2024-05-21,3676.1611,-0.05446079980674401
2024-05-22,3684.451,-0.052328568600749636
2024-05-23,3641.7917,-0.06330089524954752
2024-05-24,3601.4754,-0.07367058281757921
2024-05-27,3635.7079,-0.06486569919302432
2024-05-28,3609.1724,-0.07169085042122492
2024-05-29,3613.5223,-0.07057201997418039
2024-05-30,3594.3121,-0.0755130431365092
2024-05-31,3579.9247,-0.07921360203988825
2024-06-03,3588.7483,-0.07694409875646968
2024-06-04,3615.6714,-0.0700192535855867
2024-06-05,3594.7936,-0.07538919733309957
2024-06-06,3592.2454,-0.07604461555999187
2024-06-07,3574.1143,-0.08070808523019313
2024-06-11,3542.8771,-0.08874255279046317
2024-06-12,3544.1225,-0.08842222555564194
2024-06-13,3526.1306,-0.09304989182847123
2024-06-14,3541.5331,-0.0890882407650897
2024-06-17,3536.1986,-0.09046031851854586
2024-06-18,3545.5902,-0.08804472091251747
2024-06-19,3528.749,-0.09237641757790427
2024-06-20,3503.2817,-0.09892681888460475
2024-06-21,3495.6198,-0.10089752326912182
2024-06-24,3476.8102,-0.10573550878068028
2024-06-25,3457.9023,-0.11059877786954964
2024-06-26,3480.2648,-0.10484695693756663
2024-06-27,3454.1175,-0.11157225989809616
2024-06-28,3461.657,-0.10963303781126832
2024-07-01,3478.1827,-0.10538249036909186
2024-07-02,3471.7857,-0.10702785195665565
2024-07-03,3463.4141,-0.10918109708194079
2024-07-04,3445.8128,-0.1137082977871442
2024-07-05,3431.0605,-0.1175027120044676
2024-07-08,3401.7604,-0.12503894133880833
2024-07-09,3439.8111,-0.11525198492800426
2024-07-10,3428.9657,-0.1180415119815863
2024-07-11,3468.169,-0.10795809726754235
2024-07-12,3472.4014,-0.10686948879744607
2024-07-15,3476.2467,-0.10588044566587518
2024-07-16,3498.2827,-0.10021260324856152
2024-07-17,3501.5836,-0.09936358432337955
2024-07-18,3520.931,-0.09438727218030751
2024-07-19,3539.0156,-0.08973576269672823
2024-07-22,3514.9249,-0.09593209103775113
2024-07-23,3439.8779,-0.11523480341259873
2024-07-24,3418.1663,-0.12081920745270347
2024-07-25,3399.2716,-0.12567908139182205
2024-07-26,3409.2931,-0.12310146826851887
2024-07-29,3390.742,-0.12787296543079096
2024-07-30,3369.3821,-0.13336690930670225
2024-07-31,3442.0844,-0.11466727326675541
2024-08-01,3419.2666,-0.12053620114430952
2024-08-02,3384.3919,-0.1295062639484068
2024-08-05,3343.3205,-0.14007016951468287
2024-08-06,3342.9789,-0.1401580318749004
2024-08-07,3341.489,-0.1405412465426058
2024-08-08,3342.9369,-0.14016883462410745
2024-08-09,3331.6274,-0.14307773205642782
2024-08-12,3325.8645,-0.14455999785179607
2024-08-13,3334.3903,-0.14236709120442215
2024-08-14,3309.2389,-0.14883624040458665
2024-08-15,3341.953,-0.14042190188469905
2024-08-16,3345.634,-0.139475118079193
2024-08-19,3356.9677,-0.13655999620566284
2024-08-20,3332.7034,-0.142800975910075
2024-08-21,3321.635,-0.14564786041778033
2024-08-22,3313.1357,-0.14783395104482133
2024-08-23,3327.1905,-0.14421893962682975
2024-08-26,3324.2231,-0.14498217957914128
2024-08-27,3305.3338,-0.14984066459336187
2024-08-28,3286.4956,-0.15468600626271367
2024-08-29,3277.6812,-0.15695314322963927
2024-08-30,3321.4323,-0.14569999654312027
2024-09-02,3265.011,-0.16021202401543744
2024-09-03,3273.4282,-0.15804705019101317
2024-09-04,3252.1649,-0.163516147743748
2024-09-05,3257.7578,-0.16207760736183696
2024-09-06,3231.3457,-0.1688710190840339
2024-09-09,3192.9516,-0.17874630083002152
2024-09-10,3195.7552,-0.1780251915996176
2024-09-11,3186.1299,-0.180500898788734
2024-09-12,3172.4747,-0.18401312976426953
2024-09-13,3159.247,-0.18741540418537606
2024-09-18,3171.0102,-0.1843898113407878
2024-09-19,3196.0357,-0.17795304466741313
2024-09-20,3201.0497,-0.17666340217873955
2024-09-23,3212.7639,-0.17365041254155966
2024-09-24,3351.909,-0.13786113590599258
2024-09-25,3401.533,-0.12509743050951527
2024-09-26,3545.3204,-0.08811411571575722
2024-09-27,3703.6849,-0.04738144960136814
2024-09-30,4017.8545,0.033425583667395564
2024-10-08,4256.0962,0.09470332975710893
2024-10-09,3955.9839,0.017511950927122877
2024-10-10,3997.7879,0.02826428730456798
2024-10-11,3887.167,-0.00018832792784340135
2024-10-14,3961.3424,0.018890201680126006
2024-10-15,3855.9949,-0.008206051226842481
2024-10-16,3831.589,-0.014483451628581334
2024-10-17,3788.2217,-0.025637881764012715
2024-10-18,3925.234,0.009602820978486193
2024-10-21,3935.1974,0.012165490298719828
2024-10-22,3957.7755,0.017972765343299058
2024-10-23,3973.2089,0.02194236414359718
2024-10-24,3928.8334,0.010528616585532946
2024-10-25,3956.421,0.017624376681370846
2024-10-28,3964.1569,0.019614114481157463
2024-10-29,3924.649,0.009452354114530603
2024-10-30,3889.4487,0.00039854428324681557
2024-10-31,3891.0396,0.0008077369907122378
2024-11-01,3890.0203,0.0005455645557890243
2024-11-04,3944.7619,0.01462555922231723
2024-11-05,4044.5725,0.04029767541298401
2024-11-06,4024.2831,0.035079073037696196
2024-11-07,4145.6952,0.0663072746330462
2024-11-08,4104.047,0.05559501131099287
2024-11-11,4131.1312,0.06256129274133437
2024-11-12,4085.743,0.05088707032322248
2024-11-13,4110.8901,0.05735511352763467
2024-11-14,4039.6191,0.03902361974816637
2024-11-15,3968.8308,0.020816280422085054
2024-11-18,3950.3806,0.01607073557874128
2024-11-19,3976.8912,0.022889482319911947
2024-11-20,3985.7727,0.025173877964737468
2024-11-21,3989.2979,0.026080588714851416
2024-11-22,3865.6989,-0.005710101743378493
2024-11-25,3848.0909,-0.01023902574428881
2024-11-26,3840.1847,-0.012272566120027029
2024-11-27,3907.0447,0.004924381784383813
2024-11-28,3872.5505,-0.003947813256063859
2024-11-29,3916.5832,0.007377763291805506
2024-12-02,3947.632,0.015363772805632392
2024-12-03,3951.8912,0.016459274458555884
2024-12-04,3930.5568,0.010971889394663314
2024-12-05,3921.5881,0.008665065184817466
2024-12-06,3973.1405,0.02192477109488844
2024-12-09,3966.5708,0.020234989631418454
2024-12-10,3995.6369,0.027711032220177012
2024-12-11,3988.8308,0.025960446711170038
2024-12-12,4028.5048,0.03616492937882754
2024-12-13,3933.1808,0.011646804011791412
2024-12-16,3911.8416,0.006158184347989426
2024-12-17,3922.0334,0.008779600047243985
2024-12-18,3941.89,0.013886882664036149
2024-12-19,3945.4635,0.014806016575738434
2024-12-20,3927.7441,0.010248439568597778
2024-12-23,3933.5718,0.011747372462743044
2024-12-24,3983.6882,0.024637727233257634
2024-12-25,3985.6291,0.02513694285078172
2024-12-26,3987.4801,0.025613035440836596
2024-12-27,3981.0307,0.023954196137595307
2024-12-30,3999.0549,0.02859017023898147
2024-12-31,3934.9109,0.012091800116628582
2025-01-02,3820.3952,-0.01736259005891916
2025-01-03,3775.1648,-0.028996225005010423
2025-01-06,3768.9697,-0.030589656233885876
2025-01-07,3796.1055,-0.023610102854518367
2025-01-08,3789.2153,-0.02538231958277104
2025-01-09,3779.8773,-0.02778413082314468
2025-01-10,3732.4806,-0.039974956140838236
2025-01-13,3722.513,-0.04253870573599228
2025-01-14,3820.5395,-0.01732547489914349
2025-01-15,3796.026,-0.02363055091551758
2025-01-16,3800.3836,-0.022509739964451714
2025-01-17,3812.3429,-0.019433708569399077
2025-01-20,3829.6764,-0.014975388250806465
2025-01-21,3832.6145,-0.01421968450210842
2025-01-22,3797.0166,-0.023375760359219178
2025-01-23,3803.7439,-0.021645442865391162
2025-01-24,3832.8637,-0.014155588190146506
2025-01-27,3817.0802,-0.01821523562133498
2025-02-05,3795.0848,-0.023872635381081864
2025-02-06,3842.8314,-0.01159181287416089
2025-02-07,3892.7028,0.001235525859312414
2025-02-10,3901.0618,0.003385530159835559
2025-02-11,3883.1352,-0.0012253404100599496
2025-02-12,3919.8617,0.008221020750743824
2025-02-13,3905.1398,0.004434425666179909
2025-02-14,3939.0085,0.013145736905936234
2025-02-17,3947.3983,0.015303663222544506
2025-02-18,3912.7829,0.006400294534385065
2025-02-19,3940.1602,0.013441963721693151
2025-02-20,3928.8959,0.010544692105186382
2025-02-21,3978.444,0.023288875390596653
2025-02-24,3969.7169,0.021044192709522846
2025-02-25,3925.6505,0.009709948241456656
2025-02-26,3959.9413,0.018529827110744135
2025-02-27,3968.1159,0.020632402198081712
2025-02-28,3890.0487,0.0005528692719194428
2025-03-03,3888.4738,0.00014779189748548305
2025-03-04,3885.2208,-0.000688906749434226
2025-03-05,3902.5706,0.003773606064684021
2025-03-06,3956.2369,0.017577024630679672
2025-03-07,3944.0143,0.014433270286431377
2025-03-10,3928.8018,0.010520488802796102
2025-03-11,3941.4157,0.013764888760490646
2025-03-12,3927.2315,0.01011659458660863
2025-03-13,3911.5793,0.00609071860710797
2025-03-14,4006.5567,0.030519695572354344
2025-03-17,3996.7876,0.028007001827619504
2025-03-18,4007.7229,0.030819651908670975
2025-03-19,4010.168,0.03144855195834295
2025-03-20,3974.9918,0.02240094084743749
2025-03-21,3914.6956,0.00689225687744166
2025-03-24,3934.8486,0.012075776038638075
2025-03-25,3932.2951,0.011418994607679034
2025-03-26,3919.3566,0.008091104831112972
2025-03-27,3932.4117,0.011448985097144648
2025-03-28,3915.1662,0.0070132991102238584
2025-03-31,3887.3056,-0.00015267885545999782
2025-04-01,3887.6841,-5.53255084391191e-05
2025-04-02,3884.3858,-0.0009036756920034472
2025-04-03,3861.5034,-0.006789219226671306
2025-04-07,3589.4406,-0.07676603344037314
2025-04-08,3650.759,-0.060994431131342064
2025-04-09,3686.7943,-0.051725852357489055
2025-04-10,3735.1151,-0.039297340836408456
2025-04-11,3750.5167,-0.035335921260509995
2025-04-14,3759.1422,-0.03311737094418499
2025-04-15,3761.2348,-0.03257913682535796
2025-04-16,3772.8204,-0.029599224177416894
2025-04-17,3772.2221,-0.029753111911954844
2025-04-18,3772.523,-0.02967571793013557
2025-04-21,3784.8806,-0.026497240463435823
2025-04-22,3783.9522,-0.02673603266257507
